"日期","收市","開市","高","低","升跌（%）"
"2023-9-20","1.210","1.205","1.210","1.205","0.41%"
"2023-9-19","1.205","1.235","1.235","1.205","-2.43%"
"2023-9-18","1.235","1.220","1.235","1.220","1.23%"
"2023-9-15","1.220","1.215","1.220","1.215","0.41%"
"2023-9-14","1.215","1.220","1.220","1.215","-0.41%"
"2023-9-13","1.220","1.205","1.220","1.205","1.24%"
"2023-9-12","1.205","1.185","1.205","1.185","1.69%"
"2023-9-11","1.185","1.181","1.185","1.181","0.34%"
"2023-9-8","1.181","1.184","1.184","1.181","-0.30%"
"2023-9-7","1.184","1.180","1.184","1.180","0.38%"
"2023-9-6","1.180","1.177","1.180","1.177","0.30%"
"2023-9-4","1.176","1.175","1.176","1.175","0.13%"
"2023-9-1","1.175","1.175","1.175","1.175","0.00%"
"2023-8-31","1.175","1.183","1.183","1.175","-0.68%"
"2023-8-30","1.183","1.195","1.195","1.183","-1.00%"
"2023-8-29","1.195","1.175","1.195","1.175","1.70%"
"2023-8-28","1.175","1.175","1.175","1.175","-0.09%"
"2023-8-25","1.176","1.185","1.185","1.176","-0.76%"
"2023-8-24","1.185","1.183","1.185","1.183","0.17%"
"2023-8-23","1.183","1.225","1.225","1.183","-3.43%"
"2023-8-22","1.225","1.175","1.225","1.175","4.26%"
"2023-8-21","1.175","1.179","1.179","1.175","-0.34%"
"2023-8-18","1.179","1.175","1.179","1.175","0.34%"
"2023-8-17","1.175","1.175","1.175","1.175","0.00%"
"2023-8-16","1.175","1.185","1.185","1.175","-0.84%"
"2023-8-15","1.185","1.170","1.185","1.170","1.28%"
"2023-8-14","1.170","1.165","1.170","1.165","0.43%"
"2023-8-11","1.165","1.165","1.165","1.165","0.69%"
"2023-8-10","1.157","1.157","1.157","1.157","0.00%"
"2023-8-9","1.157","1.164","1.164","1.157","-0.60%"
"2023-8-8","1.164","1.163","1.164","1.163","0.09%"
"2023-8-7","1.163","1.155","1.163","1.155","0.69%"
"2023-8-4","1.155","1.155","1.155","1.155","0.00%"
"2023-8-3","1.155","1.155","1.155","1.155","0.00%"
"2023-8-2","1.155","1.155","1.155","1.155","0.65%"
"2023-8-1","1.148","1.153","1.153","1.148","-0.48%"
"2023-7-31","1.153","1.150","1.153","1.150","0.26%"
"2023-7-28","1.150","1.135","1.150","1.135","1.32%"
"2023-7-27","1.135","1.142","1.142","1.135","-0.61%"
"2023-7-26","1.142","1.140","1.142","1.140","0.18%"
"2023-7-25","1.140","1.140","1.140","1.140","0.00%"
"2023-7-24","1.140","1.140","1.140","1.140","0.22%"
"2023-7-21","1.137","1.137","1.137","1.137","0.18%"
"2023-7-20","1.135","1.135","1.135","1.135","0.44%"
"2023-7-19","1.130","1.139","1.139","1.130","-0.79%"
"2023-7-18","1.139","1.149","1.149","1.139","-0.87%"
"2023-7-17","1.149","1.145","1.149","1.145","0.39%"
"2023-7-14","1.145","1.145","1.145","1.145","0.00%"
"2023-7-13","1.145","1.145","1.145","1.145","0.00%"
"2023-7-12","1.145","1.152","1.152","1.145","-0.61%"
"2023-7-11","1.152","1.155","1.155","1.152","-0.26%"
"2023-7-10","1.155","1.149","1.155","1.149","0.52%"
"2023-7-7","1.149","1.149","1.149","1.149","0.00%"
"2023-7-6","1.149","1.134","1.149","1.134","1.32%"
"2023-7-5","1.134","1.165","1.165","1.134","-2.66%"
"2023-7-4","1.165","1.165","1.165","1.165","0.00%"
"2023-7-3","1.165","1.165","1.165","1.165","0.00%"
"2023-6-30","1.165","1.155","1.165","1.155","0.87%"
"2023-6-29","1.155","1.155","1.155","1.155","0.00%"
"2023-6-28","1.155","1.155","1.155","1.155","0.00%"
"2023-6-27","1.155","1.155","1.155","1.155","0.00%"
"2023-6-26","1.155","1.155","1.155","1.155","0.00%"
"2023-6-23","1.155","1.155","1.155","1.155","0.00%"
"2023-6-22","1.155","1.155","1.155","1.155","0.00%"
"2023-6-21","1.155","1.160","1.160","1.155","-0.43%"
"2023-6-20","1.160","1.145","1.160","1.145","1.31%"
"2023-6-19","1.145","1.150","1.150","1.145","-0.43%"
"2023-6-16","1.150","1.150","1.150","1.150","-1.12%"
"2023-6-15","1.163","1.153","1.163","1.153","0.87%"
"2023-6-14","1.153","1.160","1.160","1.153","-0.60%"
"2023-6-13","1.160","1.147","1.160","1.147","1.13%"
"2023-6-12","1.147","1.160","1.160","1.147","-1.12%"
"2023-6-9","1.160","1.160","1.160","1.160","0.00%"
"2023-6-8","1.160","1.150","1.160","1.150","0.87%"
"2023-6-7","1.150","1.150","1.150","1.150","0.00%"
"2023-6-6","1.150","1.164","1.164","1.150","-1.25%"
"2023-6-5","1.164","1.164","1.164","1.164","0.09%"
"2023-6-2","1.163","1.165","1.165","1.163","-0.17%"
"2023-6-1","1.165","1.160","1.165","1.160","0.43%"
"2023-5-31","1.160","1.160","1.160","1.160","0.00%"
"2023-5-30","1.160","1.155","1.160","1.155","0.43%"
"2023-5-29","1.155","1.155","1.155","1.155","0.09%"
"2023-5-26","1.154","1.154","1.154","1.154","0.35%"
"2023-5-25","1.150","1.150","1.150","1.150","0.00%"
"2023-5-24","1.150","1.150","1.150","1.150","0.00%"
"2023-5-23","1.150","1.142","1.150","1.142","0.70%"
"2023-5-22","1.142","1.142","1.142","1.142","-0.09%"
"2023-5-19","1.143","1.144","1.144","1.143","-0.09%"
"2023-5-18","1.144","1.145","1.145","1.144","-0.09%"
"2023-5-17","1.145","1.140","1.145","1.140","0.44%"
"2023-5-16","1.140","1.140","1.140","1.140","0.00%"
"2023-5-15","1.140","1.140","1.140","1.140","2.24%"
"2023-5-12","1.115","1.133","1.133","1.115","-1.59%"
"2023-5-11","1.133","1.146","1.146","1.133","-1.13%"
"2023-5-10","1.146","1.150","1.150","1.146","-0.35%"
"2023-5-9","1.150","1.139","1.150","1.139","0.97%"
"2023-5-8","1.139","1.139","1.139","1.139","0.35%"
"2023-5-5","1.135","1.145","1.145","1.135","-0.87%"
"2023-5-4","1.145","1.160","1.160","1.145","-1.29%"
"2023-5-3","1.160","1.225","1.225","1.160","-5.31%"
"2023-5-2","1.225","1.215","1.225","1.215","0.82%"
"2023-5-1","1.215","1.215","1.215","1.215","0.00%"
"2023-4-28","1.215","1.185","1.215","1.185","2.53%"
"2023-4-27","1.185","1.175","1.185","1.175","0.85%"
"2023-4-26","1.175","1.185","1.185","1.175","-0.84%"
"2023-4-25","1.185","1.200","1.200","1.185","-1.25%"
"2023-4-24","1.200","1.200","1.200","1.200","0.42%"
"2023-4-21","1.195","1.202","1.202","1.195","-0.58%"
"2023-4-20","1.202","1.202","1.202","1.202","-0.25%"
"2023-4-19","1.205","1.215","1.215","1.205","-0.82%"
"2023-4-18","1.215","1.220","1.220","1.215","-0.41%"
"2023-4-17","1.220","1.220","1.220","1.220","0.41%"
"2023-4-14","1.215","1.215","1.215","1.215","0.00%"
"2023-4-13","1.215","1.230","1.230","1.215","-1.22%"
"2023-4-12","1.230","1.225","1.230","1.225","0.41%"
"2023-4-11","1.225","1.215","1.225","1.215","0.82%"
"2023-4-10","1.215","1.215","1.215","1.215","-1.62%"
"2023-4-7","1.235","1.210","1.235","1.210","2.07%"
"2023-4-6","1.210","1.255","1.255","1.210","-3.59%"
"2023-4-5","1.255","1.255","1.255","1.255","0.00%"
