"日期","收市","開市","高","低","升跌（%）"
"2023-9-20","0.905","0.905","0.905","0.905","0.00%"
"2023-9-19","0.905","0.945","0.945","0.905","-4.23%"
"2023-9-18","0.945","0.935","0.945","0.935","1.07%"
"2023-9-15","0.935","0.935","0.935","0.935","0.00%"
"2023-9-14","0.935","0.935","0.935","0.935","0.00%"
"2023-9-13","0.935","0.935","0.935","0.935","0.00%"
"2023-9-12","0.935","0.935","0.935","0.935","0.00%"
"2023-9-11","0.935","0.935","0.935","0.935","0.00%"
"2023-9-8","0.935","0.935","0.935","0.935","0.00%"
"2023-9-7","0.935","0.940","0.940","0.935","-0.53%"
"2023-9-6","0.940","0.940","0.940","0.940","0.00%"
"2023-9-5","0.940","0.940","0.940","0.940","0.00%"
"2023-9-4","0.940","0.940","0.940","0.940","0.00%"
"2023-9-1","0.940","0.940","0.940","0.940","0.00%"
"2023-8-31","0.940","0.940","0.940","0.940","0.00%"
"2023-8-30","0.940","0.945","0.945","0.940","-0.53%"
"2023-8-29","0.945","0.945","0.945","0.945","0.00%"
"2023-8-28","0.945","0.945","0.945","0.945","0.00%"
"2023-8-25","0.945","0.945","0.945","0.945","0.00%"
"2023-8-24","0.945","0.945","0.945","0.945","0.00%"
"2023-8-23","0.945","0.945","0.945","0.945","0.00%"
"2023-8-22","0.945","0.945","0.945","0.945","0.00%"
"2023-8-21","0.945","0.955","0.955","0.945","-1.05%"
"2023-8-18","0.955","0.955","0.955","0.955","0.00%"
"2023-8-17","0.955","0.955","0.955","0.955","0.00%"
"2023-8-16","0.955","0.955","0.955","0.955","0.00%"
"2023-8-15","0.955","0.955","0.955","0.955","0.00%"
"2023-8-14","0.955","0.965","0.965","0.955","-1.04%"
"2023-8-11","0.965","0.965","0.965","0.965","0.00%"
"2023-8-10","0.965","0.965","0.965","0.965","0.00%"
"2023-8-9","0.965","0.965","0.965","0.965","0.00%"
"2023-8-8","0.965","0.965","0.965","0.965","0.00%"
"2023-8-7","0.965","0.975","0.975","0.965","-1.03%"
"2023-8-4","0.975","0.975","0.975","0.975","0.00%"
"2023-8-3","0.975","0.975","0.975","0.975","0.00%"
"2023-8-2","0.975","0.975","0.975","0.975","0.00%"
"2023-8-1","0.975","0.975","0.975","0.975","0.00%"
"2023-7-31","0.975","0.975","0.975","0.975","0.00%"
"2023-7-28","0.975","0.975","0.975","0.975","0.00%"
"2023-7-27","0.975","0.975","0.975","0.975","0.00%"
"2023-7-26","0.975","0.975","0.975","0.975","0.00%"
"2023-7-25","0.975","0.975","0.975","0.975","0.00%"
"2023-7-24","0.975","0.975","0.975","0.975","0.00%"
"2023-7-21","0.975","0.975","0.975","0.975","0.00%"
"2023-7-20","0.975","0.975","0.975","0.975","0.00%"
"2023-7-19","0.975","0.975","0.975","0.975","0.00%"
"2023-7-18","0.975","0.975","0.975","0.975","0.00%"
"2023-7-17","0.975","0.975","0.975","0.975","0.00%"
"2023-7-14","0.975","0.975","0.975","0.975","0.00%"
"2023-7-13","0.975","0.975","0.975","0.975","0.00%"
"2023-7-12","0.975","0.975","0.975","0.975","0.00%"
"2023-7-11","0.975","0.975","0.975","0.975","0.00%"
"2023-7-10","0.975","0.975","0.975","0.975","0.00%"
"2023-7-7","0.975","0.975","0.975","0.975","0.00%"
"2023-7-6","0.975","0.975","0.975","0.975","0.00%"
"2023-7-5","0.975","1.015","1.015","0.975","-3.94%"
"2023-7-4","1.015","1.015","1.015","1.015","0.00%"
"2023-7-3","1.015","1.015","1.015","1.015","0.00%"
"2023-6-30","1.015","0.985","1.015","0.985","3.05%"
"2023-6-29","0.985","0.985","0.985","0.985","0.00%"
"2023-6-28","0.985","0.985","0.985","0.985","0.00%"
"2023-6-27","0.985","0.985","0.985","0.985","0.00%"
"2023-6-26","0.985","0.985","0.985","0.985","0.00%"
"2023-6-23","0.985","0.985","0.985","0.985","0.00%"
"2023-6-22","0.985","0.985","0.985","0.985","0.00%"
"2023-6-21","0.985","0.985","0.985","0.985","0.00%"
"2023-6-20","0.985","0.995","0.995","0.985","-1.01%"
"2023-6-19","0.995","0.985","0.995","0.985","1.02%"
"2023-6-16","0.985","0.985","0.985","0.985","-1.01%"
"2023-6-15","0.995","0.985","0.995","0.985","1.02%"
"2023-6-14","0.985","0.985","0.985","0.985","0.00%"
"2023-6-13","0.985","0.985","0.985","0.985","0.00%"
"2023-6-12","0.985","0.985","0.985","0.985","0.00%"
"2023-6-9","0.985","0.985","0.985","0.985","0.00%"
"2023-6-8","0.985","0.975","0.985","0.975","1.03%"
"2023-6-7","0.975","0.995","0.995","0.975","-2.01%"
"2023-6-6","0.995","0.995","0.995","0.995","0.00%"
"2023-6-5","0.995","0.995","0.995","0.995","0.00%"
"2023-6-2","0.995","0.995","0.995","0.995","0.00%"
"2023-6-1","0.995","0.995","0.995","0.995","0.00%"
"2023-5-31","0.995","0.995","0.995","0.995","0.00%"
"2023-5-30","0.995","0.995","0.995","0.995","0.00%"
"2023-5-29","0.995","0.995","0.995","0.995","0.00%"
"2023-5-26","0.995","0.995","0.995","0.995","0.00%"
"2023-5-25","0.995","0.995","0.995","0.995","0.00%"
"2023-5-24","0.995","0.995","0.995","0.995","0.00%"
"2023-5-23","0.995","0.995","0.995","0.995","0.00%"
"2023-5-22","0.995","0.995","0.995","0.995","0.00%"
"2023-5-19","0.995","0.995","0.995","0.995","0.00%"
"2023-5-18","0.995","0.995","0.995","0.995","0.00%"
"2023-5-17","0.995","0.995","0.995","0.995","0.00%"
"2023-5-16","0.995","0.995","0.995","0.995","0.00%"
"2023-5-15","0.995","0.995","0.995","0.995","0.00%"
"2023-5-12","0.995","0.995","0.995","0.995","0.00%"
"2023-5-11","0.995","0.995","0.995","0.995","0.00%"
"2023-5-10","0.995","0.995","0.995","0.995","0.00%"
"2023-5-9","0.995","0.995","0.995","0.995","0.00%"
"2023-5-8","0.995","0.995","0.995","0.995","0.00%"
"2023-5-5","0.995","0.995","0.995","0.995","0.00%"
"2023-5-4","0.995","1.005","1.005","0.995","-1.00%"
"2023-5-3","1.005","1.005","1.005","1.005","0.00%"
"2023-5-2","1.005","1.005","1.005","1.005","0.00%"
"2023-5-1","1.005","1.005","1.005","1.005","0.00%"
"2023-4-28","1.005","1.005","1.005","1.005","0.00%"
"2023-4-27","1.005","1.005","1.005","1.005","0.00%"
"2023-4-26","1.005","1.005","1.005","1.005","0.00%"
"2023-4-25","1.005","1.005","1.005","1.005","0.00%"
"2023-4-24","1.005","1.005","1.005","1.005","0.00%"
"2023-4-21","1.005","1.005","1.005","1.005","0.00%"
"2023-4-20","1.005","1.005","1.005","1.005","0.00%"
"2023-4-19","1.005","1.005","1.005","1.005","0.00%"
"2023-4-18","1.005","1.005","1.005","1.005","0.00%"
"2023-4-17","1.005","1.005","1.005","1.005","0.00%"
"2023-4-14","1.005","1.005","1.005","1.005","0.00%"
"2023-4-13","1.005","1.055","1.055","1.005","-4.74%"
"2023-4-12","1.055","1.055","1.055","1.055","0.00%"
"2023-4-11","1.055","1.055","1.055","1.055","0.00%"
"2023-4-10","1.055","1.055","1.055","1.055","-0.94%"
"2023-4-7","1.065","1.055","1.065","1.055","0.95%"
"2023-4-6","1.055","1.085","1.085","1.055","-2.76%"
"2023-4-5","1.085","1.085","1.085","1.085","0.00%"
"2023-4-4","1.085","1.085","1.085","1.085","0.00%"
"2023-4-3","1.085","1.085","1.085","1.085","0.00%"
"2023-3-31","1.085","1.055","1.085","1.055","2.84%"
"2023-3-30","1.055","1.195","1.195","1.055","-11.72%"
"2023-3-29","1.195","1.045","1.195","1.045","14.35%"
"2023-3-28","1.045","1.030","1.045","1.030","1.46%"
"2023-3-27","1.030","1.030","1.030","1.030","-1.44%"
"2023-3-24","1.045","0.995","1.045","0.995","5.03%"
"2023-3-23","0.995","1.005","1.005","0.995","-1.00%"
"2023-3-22","1.005","0.995","1.005","0.995","1.01%"
"2023-3-21","0.995","0.980","0.995","0.980","1.53%"
"2023-3-20","0.980","0.980","0.980","0.980","-0.41%"
"2023-3-17","0.984","0.975","0.984","0.975","0.92%"
"2023-3-16","0.975","0.995","0.995","0.975","-2.01%"
"2023-3-15","0.995","0.975","0.995","0.975","2.05%"
"2023-3-14","0.975","0.975","0.975","0.975","0.00%"
"2023-3-13","0.975","0.975","0.975","0.975","-2.99%"
"2023-3-10","1.005","1.050","1.050","1.005","-4.29%"
"2023-3-9","1.050","1.060","1.060","1.050","-0.94%"
"2023-3-8","1.060","1.045","1.060","1.045","1.44%"
"2023-3-7","1.045","1.020","1.045","1.020","2.45%"
"2023-3-6","1.020","1.095","1.095","1.020","-6.85%"
"2023-3-3","1.095","1.035","1.095","1.035","5.80%"
"2023-3-2","1.035","1.035","1.035","1.035","0.00%"
"2023-3-1","1.035","1.025","1.035","1.025","0.98%"
"2023-2-28","1.025","1.025","1.025","1.025","0.00%"
"2023-2-27","1.025","1.025","1.025","1.025","0.00%"
