,標普500,標普500期貨,紐約原油近月,布倫特原油近月,熱燃油近月,天然氣近月,黃金近月,白金近月,白銀近月,高級銅近月,鈀金近月,玉米近月,小麥近月,稻近月,黃豆近月,瘦肉豬近月,飼養牛近月,活牛近月,可可豆近月,咖啡近月,棉花近月,11號糖近月,隨機長度木材近月,聯邦資金有效利率,美元指數,1年期國債殖利率,10年期國債殖利率,30年期國債殖利率,10/1年期國債殖利率差,30/1年期國債殖利率差,CPI,PPI,非農業就業人數,失業率,GDP,時間序列
2011-09-02,1173.969970703125,1169.25,86.44999694824219,112.33000183105469,2.9974000453948975,3.871999979019165,1873.699951171875,1884.800048828125,43.02000045776367,4.10699987411499,781.0999755859375,750.25,730.0,1796.0,1436.0,85.80000305175781,132.64999389648438,114.80000305175781,3092.0,289.20001220703125,106.58999633789062,29.18000030517578,250.89999389648438,0.08,74.75,0.10033333333333334,1.9856666666666667,3.1783333333333337,1.8853333333333333,3.0780000000000003,226.6021,203.61333333333332,132352.06666666668,8.993333333333334,15780.930108695653,4262
2011-09-06,1165.239990234375,1164.5,86.0199966430664,112.88999938964844,3.010200023651123,3.937999963760376,1869.9000244140625,1858.199951171875,41.81800079345703,4.0395002365112305,747.4500122070312,746.75,716.25,1775.5,1413.5,83.3499984741211,133.8000030517578,116.9749984741211,2977.0,282.3999938964844,106.23999786376953,28.290000915527344,253.5,0.09,75.91999816894531,0.10166666666666667,2.0083333333333333,3.171666666666667,1.9066666666666667,3.0700000000000003,226.6225,203.26666666666665,132380.33333333334,8.966666666666667,15789.390369565217,4266
2011-09-07,1198.6199951171875,1199.0,89.33999633789062,115.80000305175781,3.0755999088287354,3.940000057220459,1814.199951171875,1828.699951171875,41.571998596191406,4.115499973297119,750.8499755859375,736.5,714.75,1791.0,1411.0,84.8499984741211,133.9250030517578,117.6500015258789,2946.0,285.79998779296875,110.23999786376953,28.40999984741211,257.3999938964844,0.09,75.45999908447266,0.10200000000000001,2.014,3.17,1.9119999999999997,3.068,226.6276,203.17999999999998,132387.4,8.96,15791.505434782608,4267
2011-09-08,1185.9000244140625,1185.75,89.05000305175781,114.55000305175781,3.044300079345703,3.9800000190734863,1854.4000244140625,1854.5,42.479000091552734,4.127999782562256,763.5999755859375,723.25,709.25,1761.0,1407.25,86.80000305175781,133.9499969482422,118.82499694824219,2909.0,285.3999938964844,112.44999694824219,28.729999542236328,262.6000061035156,0.09,76.23999786376953,0.10233333333333333,2.0196666666666667,3.1683333333333334,1.9173333333333333,3.0660000000000003,226.6327,203.09333333333333,132394.46666666667,8.953333333333333,15793.6205,4268
2011-09-09,1154.22998046875,1158.0,87.23999786376953,112.7699966430664,2.98580002784729,3.9149999618530273,1856.4000244140625,1837.9000244140625,41.573001861572266,3.987499952316284,737.0999755859375,726.0,701.0,1806.0,1416.5,87.25,133.22500610351562,118.44999694824219,2868.0,271.25,110.30000305175781,29.049999237060547,246.5,0.09,77.19000244140625,0.10266666666666667,2.025333333333333,3.166666666666667,1.9226666666666665,3.0640000000000005,226.6378,203.00666666666666,132401.53333333333,8.946666666666667,15795.735565217392,4269
2011-09-12,1162.27001953125,1163.25,88.19000244140625,112.25,2.947499990463257,3.884999990463257,1809.9000244140625,1809.4000244140625,40.16400146484375,3.950500011444092,710.25,734.25,699.75,1817.0,1387.5,86.67500305175781,133.39999389648438,119.4000015258789,2851.0,273.70001220703125,110.72000122070312,29.56999969482422,239.0,0.09,77.56999969482422,0.10366666666666667,2.042333333333333,3.1616666666666666,1.9386666666666665,3.058,226.6531,202.74666666666667,132422.73333333334,8.926666666666668,15802.080760869565,4272
2011-09-13,1172.8699951171875,1171.5,90.20999908447266,111.88999938964844,2.9361000061035156,3.9800000190734863,1826.800048828125,1813.5,41.12300109863281,3.9560000896453857,727.0,709.25,688.75,1789.0,1381.25,87.1500015258789,134.875,119.5999984741211,2848.0,272.8500061035156,111.55999755859375,29.40999984741211,241.6999969482422,0.09,76.91000366210938,0.10400000000000001,2.048,3.16,1.944,3.056,226.6582,202.66,132429.8,8.92,15804.195826086956,4273
2011-09-14,1188.6800537109375,1188.5,88.91000366210938,112.4000015258789,2.944999933242798,4.039000034332275,1823.5,1815.9000244140625,40.46900177001953,3.884999990463257,719.2000122070312,713.0,701.75,1759.0,1374.0,88.44999694824219,136.6999969482422,121.0,2793.0,268.3500061035156,113.38999938964844,29.700000762939453,237.1999969482422,0.08,76.83000183105469,0.10433333333333333,2.0536666666666665,3.158333333333333,1.9493333333333331,3.054,226.6633,202.57333333333332,132436.86666666667,8.913333333333334,15806.310891304347,4274
2011-09-15,1209.1099853515625,1210.75,89.4000015258789,115.33999633789062,3.024600028991699,3.878000020980835,1778.5,1780.5999755859375,39.452999114990234,3.944999933242798,721.7000122070312,701.0,696.0,1792.5,1358.75,89.0,135.60000610351562,118.9000015258789,2784.0,263.3500061035156,110.62000274658203,29.5,244.1999969482422,0.09,76.23999786376953,0.10466666666666667,2.0593333333333335,3.1566666666666667,1.9546666666666668,3.052,226.6684,202.48666666666665,132443.93333333332,8.906666666666666,15808.42595652174,4275
2011-09-16,1216.010009765625,1216.739990234375,87.95999908447266,112.22000122070312,3.0088999271392822,3.809000015258789,1812.0999755859375,1813.9000244140625,40.78099822998047,3.9200000762939453,731.2000122070312,692.0,688.25,1789.0,1355.5,87.3499984741211,135.3000030517578,118.5,2792.0,263.0,109.08000183105469,27.520000457763672,244.60000610351562,0.09,76.58000183105469,0.10500000000000001,2.065,3.1550000000000002,1.96,3.0500000000000003,226.6735,202.39999999999998,132451.0,8.9,15810.54102173913,4276
2011-09-19,1204.0899658203125,1197.75,85.69999694824219,109.13999938964844,2.944700002670288,3.8289999961853027,1776.4000244140625,1772.0,39.11000061035156,3.7715001106262207,710.3499755859375,692.25,673.0,1739.0,1336.0,87.6500015258789,134.5,117.625,2716.0,262.79998779296875,104.08000183105469,27.829999923706055,241.1999969482422,0.09,77.38999938964844,0.106,2.082,3.15,1.9759999999999998,3.044,226.68880000000001,202.14,132472.2,8.88,15816.886217391304,4279
2011-09-20,1202.0899658203125,1196.0,86.88999938964844,110.54000091552734,2.9616000652313232,3.7980000972747803,1806.5999755859375,1781.9000244140625,40.08100128173828,3.7165000438690186,716.0,690.25,674.75,1719.5,1338.0,89.0250015258789,134.35000610351562,118.69999694824219,2730.0,259.45001220703125,103.80999755859375,27.59000015258789,245.0,0.09,77.02999877929688,0.10633333333333334,2.087666666666667,3.1483333333333334,1.9813333333333334,3.0420000000000003,226.6939,202.0533333333333,132479.26666666666,8.873333333333333,15819.001282608695,4280
2011-09-21,1166.760009765625,1155.75,85.91999816894531,110.36000061035156,2.9342000484466553,3.7300000190734863,1805.5,1788.199951171875,40.41999816894531,3.753499984741211,711.0999755859375,685.75,666.75,1714.0,1320.5,89.2750015258789,133.9499969482422,119.25,2727.0,251.9499969482422,101.2699966430664,26.829999923706055,244.60000610351562,0.08,77.33999633789062,0.10666666666666667,2.0933333333333333,3.1466666666666665,1.9866666666666666,3.04,226.699,201.96666666666667,132486.33333333334,8.866666666666667,15821.116347826086,4281
2011-09-22,1129.56005859375,1123.5,80.51000213623047,105.48999786376953,2.8485000133514404,3.7049999237060547,1739.199951171875,1710.5999755859375,36.53799819946289,3.4804999828338623,662.2999877929688,650.0,633.75,1666.5,1283.0,88.3499984741211,132.0500030517578,116.25,2680.0,239.25,97.63999938964844,25.670000076293945,240.0,0.08,78.37999725341797,0.107,2.0989999999999998,3.145,1.9919999999999998,3.038,226.7041,201.88,132493.4,8.860000000000001,15823.231413043479,4282
2011-09-23,1136.4300537109375,1129.75,79.8499984741211,103.97000122070312,2.795799970626831,3.7009999752044678,1637.5,1613.199951171875,30.051000595092773,3.2720000743865967,640.75,638.5,640.75,1648.5,1258.0,88.80000305175781,132.10000610351562,116.82499694824219,2634.0,231.4499969482422,99.98999786376953,24.84000015258789,233.39999389648438,0.08,78.30000305175781,0.10733333333333334,2.1046666666666667,3.143333333333333,1.9973333333333334,3.0359999999999996,226.7092,201.79333333333332,132500.46666666667,8.853333333333333,15825.34647826087,4283
2011-09-27,1175.3800048828125,1169.5,84.44999694824219,107.13999938964844,2.8766000270843506,3.8269999027252197,1650.5999755859375,1574.0,31.496999740600586,3.429500102996826,649.0,652.25,658.25,1635.0,1263.0,88.625,132.60000610351562,120.5999984741211,2721.0,240.85000610351562,98.8499984741211,26.040000915527344,227.8000030517578,0.08,77.51000213623047,0.10866666666666666,2.127333333333333,3.1366666666666667,2.0186666666666664,3.028,226.7296,201.44666666666666,132528.73333333334,8.826666666666668,15833.806739130434,4287
2011-09-28,1151.06005859375,1148.75,81.20999908447266,103.80999755859375,2.8183999061584473,3.759000062942505,1616.300048828125,1534.199951171875,30.084999084472656,3.2360000610351562,633.7999877929688,630.75,638.75,1628.0,1223.5,88.7750015258789,132.64999389648438,120.4000015258789,2664.0,233.5,98.33000183105469,25.68000030517578,224.3000030517578,0.08,77.8499984741211,0.109,2.133,3.135,2.024,3.026,226.7347,201.35999999999999,132535.8,8.82,15835.921804347827,4288
